"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","341","test_update_booking_put","tests","Wed Nov 19 18:20:56 UTC 2025","passed","Wed Nov 19 18:20:56 UTC 2025","","test_update_booking","",""
"","349","test_get_booking","tests","Wed Nov 19 18:20:53 UTC 2025","passed","Wed Nov 19 18:20:53 UTC 2025","","test_get_bookings","",""
"","115","test_success_authentification","tests","Wed Nov 19 18:20:48 UTC 2025","passed","Wed Nov 19 18:20:49 UTC 2025","","test_auhtentification","",""
"","367","test_update_booking_patch_wrong_data","tests","Wed Nov 19 18:20:57 UTC 2025","passed","Wed Nov 19 18:20:58 UTC 2025","","test_update_booking","",""
"","233","test_incorrect_dates_create_booking[Past dates]","tests","Wed Nov 19 18:20:49 UTC 2025","passed","Wed Nov 19 18:20:49 UTC 2025","","test_create_booking","",""
"","267","test_correct_dates_create_booking[Correct dates on today]","tests","Wed Nov 19 18:20:49 UTC 2025","passed","Wed Nov 19 18:20:49 UTC 2025","","test_create_booking","",""
"","92","test_incorrect_dates_create_booking[Payload without dates]","tests","Wed Nov 19 18:20:50 UTC 2025","passed","Wed Nov 19 18:20:50 UTC 2025","","test_create_booking","",""
"","279","test_incorrect_dates_create_booking[Wrong dates 'checkin>checkout']","tests","Wed Nov 19 18:20:50 UTC 2025","passed","Wed Nov 19 18:20:50 UTC 2025","","test_create_booking","",""
"","211","test_incorrect_payloads_create_booking[Empty payload]","tests","Wed Nov 19 18:20:50 UTC 2025","passed","Wed Nov 19 18:20:51 UTC 2025","","test_create_booking","",""
"","513","test_delete_deleted_booking","tests","Wed Nov 19 18:20:52 UTC 2025","passed","Wed Nov 19 18:20:52 UTC 2025","","test_delete_booking","",""
"","213","test_payloads_additional_create_booking[Payload with long additionals]","tests","Wed Nov 19 18:20:51 UTC 2025","passed","Wed Nov 19 18:20:51 UTC 2025","","test_create_booking","",""
"","328","test_update_booking_patch_without_auth","tests","Wed Nov 19 18:20:58 UTC 2025","passed","Wed Nov 19 18:20:58 UTC 2025","","test_update_booking","",""
"","1192","test_get_bookings_with_filter_name","tests","Wed Nov 19 18:20:53 UTC 2025","passed","Wed Nov 19 18:20:55 UTC 2025","","test_get_bookings","",""
"","109","test_incorrect_payloads_create_booking[Without payload]","tests","Wed Nov 19 18:20:51 UTC 2025","passed","Wed Nov 19 18:20:51 UTC 2025","","test_create_booking","",""
"","333","test_update_booking_patch","tests","Wed Nov 19 18:20:57 UTC 2025","passed","Wed Nov 19 18:20:57 UTC 2025","","test_update_booking","",""
"","323","test_delete_booking","tests","Wed Nov 19 18:20:51 UTC 2025","passed","Wed Nov 19 18:20:52 UTC 2025","","test_delete_booking","",""
"","217","test_correct_dates_create_booking[Correct dates]","tests","Wed Nov 19 18:20:49 UTC 2025","passed","Wed Nov 19 18:20:49 UTC 2025","","test_create_booking","",""
"","219","test_incorrect_dates_create_booking[Empty dates]","tests","Wed Nov 19 18:20:49 UTC 2025","passed","Wed Nov 19 18:20:50 UTC 2025","","test_create_booking","",""
"","1303","test_get_bookings_with_filter_dates","tests","Wed Nov 19 18:20:55 UTC 2025","passed","Wed Nov 19 18:20:56 UTC 2025","","test_get_bookings","",""
"","242","test_incorrect_dates_create_booking[Empty one day]","tests","Wed Nov 19 18:20:50 UTC 2025","passed","Wed Nov 19 18:20:50 UTC 2025","","test_create_booking","",""
"","352","test_wrong_data_update_booking_put","tests","Wed Nov 19 18:20:56 UTC 2025","passed","Wed Nov 19 18:20:57 UTC 2025","","test_update_booking","",""
"","310","test_get_booking_by_id","tests","Wed Nov 19 18:20:52 UTC 2025","passed","Wed Nov 19 18:20:53 UTC 2025","","test_get_bookings","",""
"","336","test_update_booking_put_without_auth","tests","Wed Nov 19 18:20:57 UTC 2025","passed","Wed Nov 19 18:20:57 UTC 2025","","test_update_booking","",""
"","125","test_incorrect_authentification[Wrong login, password ]","tests","Wed Nov 19 18:20:49 UTC 2025","passed","Wed Nov 19 18:20:49 UTC 2025","","test_auhtentification","",""
"","112","test_incorrect_authentification[Empty login, password]","tests","Wed Nov 19 18:20:49 UTC 2025","passed","Wed Nov 19 18:20:49 UTC 2025","","test_auhtentification","",""
"","94","test_incorrect_payloads_create_booking[Payload incorrect data types]","tests","Wed Nov 19 18:20:51 UTC 2025","passed","Wed Nov 19 18:20:51 UTC 2025","","test_create_booking","",""
"","376","test_get_bookings_all_ids","tests","Wed Nov 19 18:20:53 UTC 2025","passed","Wed Nov 19 18:20:53 UTC 2025","","test_get_bookings","",""
"","229","test_payloads_additional_create_booking[Payload with 2 additionals]","tests","Wed Nov 19 18:20:51 UTC 2025","passed","Wed Nov 19 18:20:51 UTC 2025","","test_create_booking","",""
"","237","test_payloads_additional_create_booking[Payload without additionals]","tests","Wed Nov 19 18:20:51 UTC 2025","passed","Wed Nov 19 18:20:51 UTC 2025","","test_create_booking","",""
