"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","998","test_update_booking_patch_wrong_data","tests","Tue Apr 21 19:03:19 UTC 2026","passed","Tue Apr 21 19:03:20 UTC 2026","","test_update_booking","",""
"","895","test_get_booking","tests","Tue Apr 21 19:03:07 UTC 2026","passed","Tue Apr 21 19:03:08 UTC 2026","","test_get_bookings","",""
"","1257","test_delete_deleted_booking","tests","Tue Apr 21 19:03:05 UTC 2026","passed","Tue Apr 21 19:03:06 UTC 2026","","test_delete_booking","",""
"","655","test_incorrect_dates_create_booking[Empty dates]","tests","Tue Apr 21 19:02:58 UTC 2026","passed","Tue Apr 21 19:02:59 UTC 2026","","test_create_booking","",""
"","279","test_incorrect_authentification[Wrong login, password ]","tests","Tue Apr 21 19:02:56 UTC 2026","passed","Tue Apr 21 19:02:56 UTC 2026","","test_auhtentification","",""
"","271","test_incorrect_authentification[Empty login, password]","tests","Tue Apr 21 19:02:56 UTC 2026","passed","Tue Apr 21 19:02:56 UTC 2026","","test_auhtentification","",""
"","669","test_payloads_additional_create_booking[Payload with long additionals]","tests","Tue Apr 21 19:03:03 UTC 2026","passed","Tue Apr 21 19:03:04 UTC 2026","","test_create_booking","",""
"","618","test_incorrect_dates_create_booking[Empty one day]","tests","Tue Apr 21 19:02:59 UTC 2026","passed","Tue Apr 21 19:03:00 UTC 2026","","test_create_booking","",""
"","636","test_incorrect_dates_create_booking[Past dates]","tests","Tue Apr 21 19:02:58 UTC 2026","passed","Tue Apr 21 19:02:58 UTC 2026","","test_create_booking","",""
"","969","test_update_booking_patch","tests","Tue Apr 21 19:03:19 UTC 2026","passed","Tue Apr 21 19:03:19 UTC 2026","","test_update_booking","",""
"","277","test_incorrect_dates_create_booking[Payload without dates]","tests","Tue Apr 21 19:03:00 UTC 2026","passed","Tue Apr 21 19:03:01 UTC 2026","","test_create_booking","",""
"","1015","test_update_booking_patch_without_auth","tests","Tue Apr 21 19:03:20 UTC 2026","passed","Tue Apr 21 19:03:22 UTC 2026","","test_update_booking","",""
"","652","test_correct_dates_create_booking[Correct dates]","tests","Tue Apr 21 19:02:56 UTC 2026","passed","Tue Apr 21 19:02:57 UTC 2026","","test_create_booking","",""
"","894","test_delete_booking","tests","Tue Apr 21 19:03:04 UTC 2026","passed","Tue Apr 21 19:03:05 UTC 2026","","test_delete_booking","",""
"","980","test_update_booking_put","tests","Tue Apr 21 19:03:16 UTC 2026","passed","Tue Apr 21 19:03:17 UTC 2026","","test_update_booking","",""
"","644","test_incorrect_payloads_create_booking[Empty payload]","tests","Tue Apr 21 19:03:01 UTC 2026","passed","Tue Apr 21 19:03:01 UTC 2026","","test_create_booking","",""
"","919","test_get_bookings_all_ids","tests","Tue Apr 21 19:03:08 UTC 2026","passed","Tue Apr 21 19:03:09 UTC 2026","","test_get_bookings","",""
"","920","test_get_booking_by_id","tests","Tue Apr 21 19:03:06 UTC 2026","passed","Tue Apr 21 19:03:07 UTC 2026","","test_get_bookings","",""
"","655","test_payloads_additional_create_booking[Payload without additionals]","tests","Tue Apr 21 19:03:02 UTC 2026","passed","Tue Apr 21 19:03:02 UTC 2026","","test_create_booking","",""
"","286","test_incorrect_payloads_create_booking[Payload incorrect data types]","tests","Tue Apr 21 19:03:02 UTC 2026","passed","Tue Apr 21 19:03:02 UTC 2026","","test_create_booking","",""
"","935","test_update_booking_put_without_auth","tests","Tue Apr 21 19:03:18 UTC 2026","passed","Tue Apr 21 19:03:19 UTC 2026","","test_update_booking","",""
"","3428","test_get_bookings_with_filter_dates","tests","Tue Apr 21 19:03:12 UTC 2026","passed","Tue Apr 21 19:03:16 UTC 2026","","test_get_bookings","",""
"","280","test_success_authentification","tests","Tue Apr 21 19:02:56 UTC 2026","passed","Tue Apr 21 19:02:56 UTC 2026","","test_auhtentification","",""
"","662","test_correct_dates_create_booking[Correct dates on today]","tests","Tue Apr 21 19:02:57 UTC 2026","passed","Tue Apr 21 19:02:58 UTC 2026","","test_create_booking","",""
"","3516","test_get_bookings_with_filter_name","tests","Tue Apr 21 19:03:09 UTC 2026","passed","Tue Apr 21 19:03:12 UTC 2026","","test_get_bookings","",""
"","618","test_payloads_additional_create_booking[Payload with 2 additionals]","tests","Tue Apr 21 19:03:02 UTC 2026","passed","Tue Apr 21 19:03:03 UTC 2026","","test_create_booking","",""
"","636","test_incorrect_dates_create_booking[Wrong dates 'checkin>checkout']","tests","Tue Apr 21 19:03:00 UTC 2026","passed","Tue Apr 21 19:03:00 UTC 2026","","test_create_booking","",""
"","994","test_wrong_data_update_booking_put","tests","Tue Apr 21 19:03:17 UTC 2026","passed","Tue Apr 21 19:03:18 UTC 2026","","test_update_booking","",""
"","306","test_incorrect_payloads_create_booking[Without payload]","tests","Tue Apr 21 19:03:01 UTC 2026","passed","Tue Apr 21 19:03:02 UTC 2026","","test_create_booking","",""
