"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1011","test_update_booking_put","tests","Wed Mar 04 18:44:08 UTC 2026","passed","Wed Mar 04 18:44:09 UTC 2026","","test_update_booking","",""
"","618","test_incorrect_payloads_create_booking[Empty payload]","tests","Wed Mar 04 18:43:53 UTC 2026","passed","Wed Mar 04 18:43:53 UTC 2026","","test_create_booking","",""
"","271","test_incorrect_authentification[Empty login, password]","tests","Wed Mar 04 18:43:48 UTC 2026","passed","Wed Mar 04 18:43:49 UTC 2026","","test_auhtentification","",""
"","959","test_delete_booking","tests","Wed Mar 04 18:43:56 UTC 2026","passed","Wed Mar 04 18:43:57 UTC 2026","","test_delete_booking","",""
"","267","test_incorrect_payloads_create_booking[Without payload]","tests","Wed Mar 04 18:43:53 UTC 2026","passed","Wed Mar 04 18:43:54 UTC 2026","","test_create_booking","",""
"","1456","test_delete_deleted_booking","tests","Wed Mar 04 18:43:57 UTC 2026","passed","Wed Mar 04 18:43:58 UTC 2026","","test_delete_booking","",""
"","636","test_payloads_additional_create_booking[Payload with long additionals]","tests","Wed Mar 04 18:43:55 UTC 2026","passed","Wed Mar 04 18:43:56 UTC 2026","","test_create_booking","",""
"","630","test_correct_dates_create_booking[Correct dates]","tests","Wed Mar 04 18:43:49 UTC 2026","passed","Wed Mar 04 18:43:49 UTC 2026","","test_create_booking","",""
"","987","test_get_bookings_all_ids","tests","Wed Mar 04 18:44:00 UTC 2026","passed","Wed Mar 04 18:44:01 UTC 2026","","test_get_bookings","",""
"","647","test_incorrect_dates_create_booking[Empty one day]","tests","Wed Mar 04 18:43:51 UTC 2026","passed","Wed Mar 04 18:43:52 UTC 2026","","test_create_booking","",""
"","650","test_incorrect_dates_create_booking[Past dates]","tests","Wed Mar 04 18:43:50 UTC 2026","passed","Wed Mar 04 18:43:50 UTC 2026","","test_create_booking","",""
"","978","test_update_booking_put_without_auth","tests","Wed Mar 04 18:44:10 UTC 2026","passed","Wed Mar 04 18:44:11 UTC 2026","","test_update_booking","",""
"","891","test_get_booking_by_id","tests","Wed Mar 04 18:43:58 UTC 2026","passed","Wed Mar 04 18:43:59 UTC 2026","","test_get_bookings","",""
"","979","test_update_booking_patch_without_auth","tests","Wed Mar 04 18:44:13 UTC 2026","passed","Wed Mar 04 18:44:14 UTC 2026","","test_update_booking","",""
"","298","test_success_authentification","tests","Wed Mar 04 18:43:48 UTC 2026","passed","Wed Mar 04 18:43:48 UTC 2026","","test_auhtentification","",""
"","663","test_payloads_additional_create_booking[Payload with 2 additionals]","tests","Wed Mar 04 18:43:54 UTC 2026","passed","Wed Mar 04 18:43:55 UTC 2026","","test_create_booking","",""
"","273","test_incorrect_payloads_create_booking[Payload incorrect data types]","tests","Wed Mar 04 18:43:54 UTC 2026","passed","Wed Mar 04 18:43:54 UTC 2026","","test_create_booking","",""
"","617","test_incorrect_dates_create_booking[Empty dates]","tests","Wed Mar 04 18:43:50 UTC 2026","passed","Wed Mar 04 18:43:51 UTC 2026","","test_create_booking","",""
"","1026","test_update_booking_patch","tests","Wed Mar 04 18:44:11 UTC 2026","passed","Wed Mar 04 18:44:12 UTC 2026","","test_update_booking","",""
"","3419","test_get_bookings_with_filter_name","tests","Wed Mar 04 18:44:01 UTC 2026","passed","Wed Mar 04 18:44:04 UTC 2026","","test_get_bookings","",""
"","268","test_incorrect_dates_create_booking[Payload without dates]","tests","Wed Mar 04 18:43:52 UTC 2026","passed","Wed Mar 04 18:43:53 UTC 2026","","test_create_booking","",""
"","643","test_correct_dates_create_booking[Correct dates on today]","tests","Wed Mar 04 18:43:49 UTC 2026","passed","Wed Mar 04 18:43:50 UTC 2026","","test_create_booking","",""
"","944","test_wrong_data_update_booking_put","tests","Wed Mar 04 18:44:09 UTC 2026","passed","Wed Mar 04 18:44:10 UTC 2026","","test_update_booking","",""
"","271","test_incorrect_authentification[Wrong login, password ]","tests","Wed Mar 04 18:43:48 UTC 2026","passed","Wed Mar 04 18:43:48 UTC 2026","","test_auhtentification","",""
"","3600","test_get_bookings_with_filter_dates","tests","Wed Mar 04 18:44:04 UTC 2026","passed","Wed Mar 04 18:44:08 UTC 2026","","test_get_bookings","",""
"","956","test_update_booking_patch_wrong_data","tests","Wed Mar 04 18:44:12 UTC 2026","passed","Wed Mar 04 18:44:13 UTC 2026","","test_update_booking","",""
"","904","test_get_booking","tests","Wed Mar 04 18:43:59 UTC 2026","passed","Wed Mar 04 18:44:00 UTC 2026","","test_get_bookings","",""
"","634","test_incorrect_dates_create_booking[Wrong dates 'checkin>checkout']","tests","Wed Mar 04 18:43:52 UTC 2026","passed","Wed Mar 04 18:43:52 UTC 2026","","test_create_booking","",""
"","637","test_payloads_additional_create_booking[Payload without additionals]","tests","Wed Mar 04 18:43:54 UTC 2026","passed","Wed Mar 04 18:43:54 UTC 2026","","test_create_booking","",""
