"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","954","test_update_booking_patch","tests","Thu Apr 02 18:46:57 UTC 2026","passed","Thu Apr 02 18:46:58 UTC 2026","","test_update_booking","",""
"","881","test_delete_booking","tests","Thu Apr 02 18:46:42 UTC 2026","passed","Thu Apr 02 18:46:43 UTC 2026","","test_delete_booking","",""
"","1216","test_delete_deleted_booking","tests","Thu Apr 02 18:46:43 UTC 2026","passed","Thu Apr 02 18:46:44 UTC 2026","","test_delete_booking","",""
"","632","test_correct_dates_create_booking[Correct dates]","tests","Thu Apr 02 18:46:35 UTC 2026","passed","Thu Apr 02 18:46:35 UTC 2026","","test_create_booking","",""
"","630","test_incorrect_dates_create_booking[Wrong dates 'checkin>checkout']","tests","Thu Apr 02 18:46:38 UTC 2026","passed","Thu Apr 02 18:46:38 UTC 2026","","test_create_booking","",""
"","293","test_incorrect_authentification[Wrong login, password ]","tests","Thu Apr 02 18:46:34 UTC 2026","passed","Thu Apr 02 18:46:34 UTC 2026","","test_auhtentification","",""
"","621","test_payloads_additional_create_booking[Payload with long additionals]","tests","Thu Apr 02 18:46:41 UTC 2026","passed","Thu Apr 02 18:46:42 UTC 2026","","test_create_booking","",""
"","962","test_update_booking_put_without_auth","tests","Thu Apr 02 18:46:56 UTC 2026","passed","Thu Apr 02 18:46:57 UTC 2026","","test_update_booking","",""
"","626","test_incorrect_dates_create_booking[Past dates]","tests","Thu Apr 02 18:46:36 UTC 2026","passed","Thu Apr 02 18:46:37 UTC 2026","","test_create_booking","",""
"","276","test_incorrect_payloads_create_booking[Without payload]","tests","Thu Apr 02 18:46:39 UTC 2026","passed","Thu Apr 02 18:46:40 UTC 2026","","test_create_booking","",""
"","611","test_incorrect_payloads_create_booking[Empty payload]","tests","Thu Apr 02 18:46:39 UTC 2026","passed","Thu Apr 02 18:46:39 UTC 2026","","test_create_booking","",""
"","916","test_get_booking","tests","Thu Apr 02 18:46:45 UTC 2026","passed","Thu Apr 02 18:46:46 UTC 2026","","test_get_bookings","",""
"","1035","test_get_bookings_all_ids","tests","Thu Apr 02 18:46:46 UTC 2026","passed","Thu Apr 02 18:46:47 UTC 2026","","test_get_bookings","",""
"","618","test_incorrect_dates_create_booking[Empty one day]","tests","Thu Apr 02 18:46:37 UTC 2026","passed","Thu Apr 02 18:46:38 UTC 2026","","test_create_booking","",""
"","976","test_update_booking_put","tests","Thu Apr 02 18:46:54 UTC 2026","passed","Thu Apr 02 18:46:55 UTC 2026","","test_update_booking","",""
"","3519","test_get_bookings_with_filter_dates","tests","Thu Apr 02 18:46:50 UTC 2026","passed","Thu Apr 02 18:46:54 UTC 2026","","test_get_bookings","",""
"","641","test_payloads_additional_create_booking[Payload without additionals]","tests","Thu Apr 02 18:46:40 UTC 2026","passed","Thu Apr 02 18:46:41 UTC 2026","","test_create_booking","",""
"","299","test_incorrect_dates_create_booking[Payload without dates]","tests","Thu Apr 02 18:46:38 UTC 2026","passed","Thu Apr 02 18:46:39 UTC 2026","","test_create_booking","",""
"","637","test_correct_dates_create_booking[Correct dates on today]","tests","Thu Apr 02 18:46:35 UTC 2026","passed","Thu Apr 02 18:46:36 UTC 2026","","test_create_booking","",""
"","282","test_incorrect_authentification[Empty login, password]","tests","Thu Apr 02 18:46:34 UTC 2026","passed","Thu Apr 02 18:46:35 UTC 2026","","test_auhtentification","",""
"","981","test_update_booking_patch_wrong_data","tests","Thu Apr 02 18:46:58 UTC 2026","passed","Thu Apr 02 18:46:59 UTC 2026","","test_update_booking","",""
"","655","test_payloads_additional_create_booking[Payload with 2 additionals]","tests","Thu Apr 02 18:46:41 UTC 2026","passed","Thu Apr 02 18:46:41 UTC 2026","","test_create_booking","",""
"","983","test_wrong_data_update_booking_put","tests","Thu Apr 02 18:46:55 UTC 2026","passed","Thu Apr 02 18:46:56 UTC 2026","","test_update_booking","",""
"","270","test_incorrect_payloads_create_booking[Payload incorrect data types]","tests","Thu Apr 02 18:46:40 UTC 2026","passed","Thu Apr 02 18:46:40 UTC 2026","","test_create_booking","",""
"","3490","test_get_bookings_with_filter_name","tests","Thu Apr 02 18:46:47 UTC 2026","passed","Thu Apr 02 18:46:50 UTC 2026","","test_get_bookings","",""
"","272","test_success_authentification","tests","Thu Apr 02 18:46:34 UTC 2026","passed","Thu Apr 02 18:46:34 UTC 2026","","test_auhtentification","",""
"","656","test_incorrect_dates_create_booking[Empty dates]","tests","Thu Apr 02 18:46:37 UTC 2026","passed","Thu Apr 02 18:46:37 UTC 2026","","test_create_booking","",""
"","909","test_get_booking_by_id","tests","Thu Apr 02 18:46:44 UTC 2026","passed","Thu Apr 02 18:46:45 UTC 2026","","test_get_bookings","",""
"","1006","test_update_booking_patch_without_auth","tests","Thu Apr 02 18:46:59 UTC 2026","passed","Thu Apr 02 18:47:00 UTC 2026","","test_update_booking","",""
