"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","69","test_update_booking_patch_wrong_data","tests","Sun May 17 18:58:07 UTC 2026","passed","Sun May 17 18:58:07 UTC 2026","","test_update_booking","",""
"","45","test_payloads_additional_create_booking[Payload with long additionals]","tests","Sun May 17 18:58:05 UTC 2026","passed","Sun May 17 18:58:05 UTC 2026","","test_create_booking","",""
"","50","test_incorrect_dates_create_booking[Empty dates]","tests","Sun May 17 18:58:05 UTC 2026","passed","Sun May 17 18:58:05 UTC 2026","","test_create_booking","",""
"","23","test_incorrect_authentification[Wrong login, password ]","tests","Sun May 17 18:58:05 UTC 2026","passed","Sun May 17 18:58:05 UTC 2026","","test_auhtentification","",""
"","256","test_get_bookings_with_filter_dates","tests","Sun May 17 18:58:06 UTC 2026","passed","Sun May 17 18:58:07 UTC 2026","","test_get_bookings","",""
"","18","test_incorrect_payloads_create_booking[Payload incorrect data types]","tests","Sun May 17 18:58:05 UTC 2026","passed","Sun May 17 18:58:05 UTC 2026","","test_create_booking","",""
"","28","test_incorrect_payloads_create_booking[Without payload]","tests","Sun May 17 18:58:05 UTC 2026","passed","Sun May 17 18:58:05 UTC 2026","","test_create_booking","",""
"","69","test_update_booking_put","tests","Sun May 17 18:58:07 UTC 2026","passed","Sun May 17 18:58:07 UTC 2026","","test_update_booking","",""
"","269","test_get_bookings_with_filter_name","tests","Sun May 17 18:58:06 UTC 2026","passed","Sun May 17 18:58:06 UTC 2026","","test_get_bookings","",""
"","55","test_correct_dates_create_booking[Correct dates on today]","tests","Sun May 17 18:58:05 UTC 2026","passed","Sun May 17 18:58:05 UTC 2026","","test_create_booking","",""
"","90","test_get_booking","tests","Sun May 17 18:58:06 UTC 2026","passed","Sun May 17 18:58:06 UTC 2026","","test_get_bookings","",""
"","129","test_wrong_data_update_booking_put","tests","Sun May 17 18:58:07 UTC 2026","passed","Sun May 17 18:58:07 UTC 2026","","test_update_booking","",""
"","41","test_payloads_additional_create_booking[Payload without additionals]","tests","Sun May 17 18:58:05 UTC 2026","passed","Sun May 17 18:58:05 UTC 2026","","test_create_booking","",""
"","48","test_incorrect_payloads_create_booking[Empty payload]","tests","Sun May 17 18:58:05 UTC 2026","passed","Sun May 17 18:58:05 UTC 2026","","test_create_booking","",""
"","62","test_update_booking_patch","tests","Sun May 17 18:58:07 UTC 2026","passed","Sun May 17 18:58:07 UTC 2026","","test_update_booking","",""
"","85","test_get_bookings_all_ids","tests","Sun May 17 18:58:06 UTC 2026","passed","Sun May 17 18:58:06 UTC 2026","","test_get_bookings","",""
"","49","test_incorrect_dates_create_booking[Empty one day]","tests","Sun May 17 18:58:05 UTC 2026","passed","Sun May 17 18:58:05 UTC 2026","","test_create_booking","",""
"","47","test_payloads_additional_create_booking[Payload with 2 additionals]","tests","Sun May 17 18:58:05 UTC 2026","passed","Sun May 17 18:58:05 UTC 2026","","test_create_booking","",""
"","45","test_correct_dates_create_booking[Correct dates]","tests","Sun May 17 18:58:05 UTC 2026","passed","Sun May 17 18:58:05 UTC 2026","","test_create_booking","",""
"","72","test_delete_booking","tests","Sun May 17 18:58:05 UTC 2026","passed","Sun May 17 18:58:05 UTC 2026","","test_delete_booking","",""
"","43","test_success_authentification","tests","Sun May 17 18:58:05 UTC 2026","passed","Sun May 17 18:58:05 UTC 2026","","test_auhtentification","",""
"","18","test_incorrect_dates_create_booking[Payload without dates]","tests","Sun May 17 18:58:05 UTC 2026","passed","Sun May 17 18:58:05 UTC 2026","","test_create_booking","",""
"","61","test_update_booking_patch_without_auth","tests","Sun May 17 18:58:07 UTC 2026","passed","Sun May 17 18:58:07 UTC 2026","","test_update_booking","",""
"","57","test_incorrect_dates_create_booking[Wrong dates 'checkin>checkout']","tests","Sun May 17 18:58:05 UTC 2026","passed","Sun May 17 18:58:05 UTC 2026","","test_create_booking","",""
"","70","test_get_booking_by_id","tests","Sun May 17 18:58:06 UTC 2026","passed","Sun May 17 18:58:06 UTC 2026","","test_get_bookings","",""
"","46","test_incorrect_dates_create_booking[Past dates]","tests","Sun May 17 18:58:05 UTC 2026","passed","Sun May 17 18:58:05 UTC 2026","","test_create_booking","",""
"","21","test_incorrect_authentification[Empty login, password]","tests","Sun May 17 18:58:05 UTC 2026","passed","Sun May 17 18:58:05 UTC 2026","","test_auhtentification","",""
"","325","test_delete_deleted_booking","tests","Sun May 17 18:58:05 UTC 2026","passed","Sun May 17 18:58:06 UTC 2026","","test_delete_booking","",""
"","61","test_update_booking_put_without_auth","tests","Sun May 17 18:58:07 UTC 2026","passed","Sun May 17 18:58:07 UTC 2026","","test_update_booking","",""
