"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","894","test_get_bookings_all_ids","tests","Sun Apr 27 18:16:35 GMT 2025","passed","Sun Apr 27 18:16:36 GMT 2025","","test_get_bookings","",""
"","505","test_payloads_additional_create_booking[Payload with long additionals]","tests","Sun Apr 27 18:16:32 GMT 2025","passed","Sun Apr 27 18:16:32 GMT 2025","","test_create_booking","",""
"","804","test_update_booking_patch","tests","Sun Apr 27 18:16:45 GMT 2025","passed","Sun Apr 27 18:16:46 GMT 2025","","test_update_booking","",""
"","250","test_success_authentification","tests","Sun Apr 27 18:16:25 GMT 2025","passed","Sun Apr 27 18:16:26 GMT 2025","","test_auhtentification","",""
"","812","test_update_booking_put","tests","Sun Apr 27 18:16:42 GMT 2025","passed","Sun Apr 27 18:16:43 GMT 2025","","test_update_booking","",""
"","522","test_correct_dates_create_booking[Correct dates]","tests","Sun Apr 27 18:16:26 GMT 2025","passed","Sun Apr 27 18:16:27 GMT 2025","","test_create_booking","",""
"","2966","test_get_bookings_with_filter_dates","tests","Sun Apr 27 18:16:39 GMT 2025","passed","Sun Apr 27 18:16:42 GMT 2025","","test_get_bookings","",""
"","229","test_incorrect_authentification[Empty login, password]","tests","Sun Apr 27 18:16:26 GMT 2025","passed","Sun Apr 27 18:16:26 GMT 2025","","test_auhtentification","",""
"","240","test_incorrect_payloads_create_booking[Without payload]","tests","Sun Apr 27 18:16:30 GMT 2025","passed","Sun Apr 27 18:16:30 GMT 2025","","test_create_booking","",""
"","539","test_incorrect_dates_create_booking[Empty one day]","tests","Sun Apr 27 18:16:28 GMT 2025","passed","Sun Apr 27 18:16:29 GMT 2025","","test_create_booking","",""
"","775","test_get_booking_by_id","tests","Sun Apr 27 18:16:34 GMT 2025","passed","Sun Apr 27 18:16:35 GMT 2025","","test_get_bookings","",""
"","1029","test_delete_deleted_booking","tests","Sun Apr 27 18:16:33 GMT 2025","passed","Sun Apr 27 18:16:34 GMT 2025","","test_delete_booking","",""
"","826","test_update_booking_patch_without_auth","tests","Sun Apr 27 18:16:46 GMT 2025","passed","Sun Apr 27 18:16:47 GMT 2025","","test_update_booking","",""
"","858","test_update_booking_put_without_auth","tests","Sun Apr 27 18:16:44 GMT 2025","passed","Sun Apr 27 18:16:45 GMT 2025","","test_update_booking","",""
"","540","test_incorrect_payloads_create_booking[Empty payload]","tests","Sun Apr 27 18:16:29 GMT 2025","passed","Sun Apr 27 18:16:30 GMT 2025","","test_create_booking","",""
"","544","test_incorrect_dates_create_booking[Empty dates]","tests","Sun Apr 27 18:16:28 GMT 2025","passed","Sun Apr 27 18:16:28 GMT 2025","","test_create_booking","",""
"","3014","test_get_bookings_with_filter_name","tests","Sun Apr 27 18:16:36 GMT 2025","passed","Sun Apr 27 18:16:39 GMT 2025","","test_get_bookings","",""
"","726","test_delete_booking","tests","Sun Apr 27 18:16:32 GMT 2025","passed","Sun Apr 27 18:16:33 GMT 2025","","test_delete_booking","",""
"","516","test_incorrect_dates_create_booking[Wrong dates 'checkin>checkout']","tests","Sun Apr 27 18:16:29 GMT 2025","passed","Sun Apr 27 18:16:29 GMT 2025","","test_create_booking","",""
"","846","test_wrong_data_update_booking_put","tests","Sun Apr 27 18:16:43 GMT 2025","passed","Sun Apr 27 18:16:44 GMT 2025","","test_update_booking","",""
"","550","test_correct_dates_create_booking[Correct dates on today]","tests","Sun Apr 27 18:16:27 GMT 2025","passed","Sun Apr 27 18:16:27 GMT 2025","","test_create_booking","",""
"","818","test_update_booking_patch_wrong_data","tests","Sun Apr 27 18:16:46 GMT 2025","passed","Sun Apr 27 18:16:46 GMT 2025","","test_update_booking","",""
"","549","test_payloads_additional_create_booking[Payload without additionals]","tests","Sun Apr 27 18:16:30 GMT 2025","passed","Sun Apr 27 18:16:31 GMT 2025","","test_create_booking","",""
"","540","test_payloads_additional_create_booking[Payload with 2 additionals]","tests","Sun Apr 27 18:16:31 GMT 2025","passed","Sun Apr 27 18:16:32 GMT 2025","","test_create_booking","",""
"","233","test_incorrect_authentification[Wrong login, password ]","tests","Sun Apr 27 18:16:26 GMT 2025","passed","Sun Apr 27 18:16:26 GMT 2025","","test_auhtentification","",""
"","512","test_incorrect_dates_create_booking[Past dates]","tests","Sun Apr 27 18:16:27 GMT 2025","passed","Sun Apr 27 18:16:28 GMT 2025","","test_create_booking","",""
"","236","test_incorrect_payloads_create_booking[Payload incorrect data types]","tests","Sun Apr 27 18:16:30 GMT 2025","passed","Sun Apr 27 18:16:30 GMT 2025","","test_create_booking","",""
"","225","test_incorrect_dates_create_booking[Payload without dates]","tests","Sun Apr 27 18:16:29 GMT 2025","passed","Sun Apr 27 18:16:29 GMT 2025","","test_create_booking","",""
"","765","test_get_booking","tests","Sun Apr 27 18:16:35 GMT 2025","passed","Sun Apr 27 18:16:35 GMT 2025","","test_get_bookings","",""
