"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","83","test_incorrect_dates_create_booking[Wrong dates 'checkin>checkout']","tests","Sat Nov 15 18:17:41 UTC 2025","passed","Sat Nov 15 18:17:41 UTC 2025","","test_create_booking","",""
"","448","test_get_bookings_with_filter_dates","tests","Sat Nov 15 18:17:42 UTC 2025","passed","Sat Nov 15 18:17:43 UTC 2025","","test_get_bookings","",""
"","122","test_update_booking_patch_wrong_data","tests","Sat Nov 15 18:17:43 UTC 2025","passed","Sat Nov 15 18:17:43 UTC 2025","","test_update_booking","",""
"","127","test_wrong_data_update_booking_put","tests","Sat Nov 15 18:17:43 UTC 2025","passed","Sat Nov 15 18:17:43 UTC 2025","","test_update_booking","",""
"","39","test_incorrect_authentification[Empty login, password]","tests","Sat Nov 15 18:17:40 UTC 2025","passed","Sat Nov 15 18:17:40 UTC 2025","","test_auhtentification","",""
"","116","test_update_booking_patch","tests","Sat Nov 15 18:17:43 UTC 2025","passed","Sat Nov 15 18:17:43 UTC 2025","","test_update_booking","",""
"","76","test_incorrect_payloads_create_booking[Empty payload]","tests","Sat Nov 15 18:17:41 UTC 2025","passed","Sat Nov 15 18:17:41 UTC 2025","","test_create_booking","",""
"","150","test_delete_deleted_booking","tests","Sat Nov 15 18:17:41 UTC 2025","passed","Sat Nov 15 18:17:41 UTC 2025","","test_delete_booking","",""
"","116","test_get_booking","tests","Sat Nov 15 18:17:42 UTC 2025","passed","Sat Nov 15 18:17:42 UTC 2025","","test_get_bookings","",""
"","170","test_get_bookings_all_ids","tests","Sat Nov 15 18:17:42 UTC 2025","passed","Sat Nov 15 18:17:42 UTC 2025","","test_get_bookings","",""
"","111","test_update_booking_put_without_auth","tests","Sat Nov 15 18:17:43 UTC 2025","passed","Sat Nov 15 18:17:43 UTC 2025","","test_update_booking","",""
"","83","test_payloads_additional_create_booking[Payload with long additionals]","tests","Sat Nov 15 18:17:41 UTC 2025","passed","Sat Nov 15 18:17:41 UTC 2025","","test_create_booking","",""
"","32","test_incorrect_payloads_create_booking[Payload incorrect data types]","tests","Sat Nov 15 18:17:41 UTC 2025","passed","Sat Nov 15 18:17:41 UTC 2025","","test_create_booking","",""
"","106","test_get_booking_by_id","tests","Sat Nov 15 18:17:41 UTC 2025","passed","Sat Nov 15 18:17:42 UTC 2025","","test_get_bookings","",""
"","424","test_get_bookings_with_filter_name","tests","Sat Nov 15 18:17:42 UTC 2025","passed","Sat Nov 15 18:17:42 UTC 2025","","test_get_bookings","",""
"","89","test_correct_dates_create_booking[Correct dates]","tests","Sat Nov 15 18:17:40 UTC 2025","passed","Sat Nov 15 18:17:40 UTC 2025","","test_create_booking","",""
"","92","test_payloads_additional_create_booking[Payload with 2 additionals]","tests","Sat Nov 15 18:17:41 UTC 2025","passed","Sat Nov 15 18:17:41 UTC 2025","","test_create_booking","",""
"","115","test_delete_booking","tests","Sat Nov 15 18:17:41 UTC 2025","passed","Sat Nov 15 18:17:41 UTC 2025","","test_delete_booking","",""
"","90","test_incorrect_dates_create_booking[Empty one day]","tests","Sat Nov 15 18:17:40 UTC 2025","passed","Sat Nov 15 18:17:41 UTC 2025","","test_create_booking","",""
"","40","test_incorrect_authentification[Wrong login, password ]","tests","Sat Nov 15 18:17:40 UTC 2025","passed","Sat Nov 15 18:17:40 UTC 2025","","test_auhtentification","",""
"","32","test_incorrect_payloads_create_booking[Without payload]","tests","Sat Nov 15 18:17:41 UTC 2025","passed","Sat Nov 15 18:17:41 UTC 2025","","test_create_booking","",""
"","130","test_update_booking_put","tests","Sat Nov 15 18:17:43 UTC 2025","passed","Sat Nov 15 18:17:43 UTC 2025","","test_update_booking","",""
"","84","test_incorrect_dates_create_booking[Empty dates]","tests","Sat Nov 15 18:17:40 UTC 2025","passed","Sat Nov 15 18:17:40 UTC 2025","","test_create_booking","",""
"","33","test_incorrect_dates_create_booking[Payload without dates]","tests","Sat Nov 15 18:17:41 UTC 2025","passed","Sat Nov 15 18:17:41 UTC 2025","","test_create_booking","",""
"","91","test_incorrect_dates_create_booking[Past dates]","tests","Sat Nov 15 18:17:40 UTC 2025","passed","Sat Nov 15 18:17:40 UTC 2025","","test_create_booking","",""
"","93","test_payloads_additional_create_booking[Payload without additionals]","tests","Sat Nov 15 18:17:41 UTC 2025","passed","Sat Nov 15 18:17:41 UTC 2025","","test_create_booking","",""
"","83","test_correct_dates_create_booking[Correct dates on today]","tests","Sat Nov 15 18:17:40 UTC 2025","passed","Sat Nov 15 18:17:40 UTC 2025","","test_create_booking","",""
"","120","test_update_booking_patch_without_auth","tests","Sat Nov 15 18:17:43 UTC 2025","passed","Sat Nov 15 18:17:43 UTC 2025","","test_update_booking","",""
"","56","test_success_authentification","tests","Sat Nov 15 18:17:40 UTC 2025","passed","Sat Nov 15 18:17:40 UTC 2025","","test_auhtentification","",""
