"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","789","test_update_booking_patch_without_auth","tests","Fri Nov 14 18:21:00 UTC 2025","passed","Fri Nov 14 18:21:01 UTC 2025","","test_update_booking","",""
"","541","test_incorrect_dates_create_booking[Past dates]","tests","Fri Nov 14 18:20:41 UTC 2025","passed","Fri Nov 14 18:20:42 UTC 2025","","test_create_booking","",""
"","741","test_get_bookings_all_ids","tests","Fri Nov 14 18:20:49 UTC 2025","passed","Fri Nov 14 18:20:50 UTC 2025","","test_get_bookings","",""
"","517","test_incorrect_payloads_create_booking[Empty payload]","tests","Fri Nov 14 18:20:44 UTC 2025","passed","Fri Nov 14 18:20:44 UTC 2025","","test_create_booking","",""
"","531","test_payloads_additional_create_booking[Payload with long additionals]","tests","Fri Nov 14 18:20:46 UTC 2025","passed","Fri Nov 14 18:20:46 UTC 2025","","test_create_booking","",""
"","2909","test_get_bookings_with_filter_dates","tests","Fri Nov 14 18:20:53 UTC 2025","passed","Fri Nov 14 18:20:56 UTC 2025","","test_get_bookings","",""
"","236","test_incorrect_payloads_create_booking[Payload incorrect data types]","tests","Fri Nov 14 18:20:44 UTC 2025","passed","Fri Nov 14 18:20:45 UTC 2025","","test_create_booking","",""
"","752","test_delete_booking","tests","Fri Nov 14 18:20:46 UTC 2025","passed","Fri Nov 14 18:20:47 UTC 2025","","test_delete_booking","",""
"","243","test_incorrect_authentification[Wrong login, password ]","tests","Fri Nov 14 18:20:40 UTC 2025","passed","Fri Nov 14 18:20:40 UTC 2025","","test_auhtentification","",""
"","531","test_payloads_additional_create_booking[Payload without additionals]","tests","Fri Nov 14 18:20:45 UTC 2025","passed","Fri Nov 14 18:20:45 UTC 2025","","test_create_booking","",""
"","567","test_incorrect_dates_create_booking[Empty dates]","tests","Fri Nov 14 18:20:42 UTC 2025","passed","Fri Nov 14 18:20:42 UTC 2025","","test_create_booking","",""
"","545","test_correct_dates_create_booking[Correct dates on today]","tests","Fri Nov 14 18:20:41 UTC 2025","passed","Fri Nov 14 18:20:41 UTC 2025","","test_create_booking","",""
"","2882","test_get_bookings_with_filter_name","tests","Fri Nov 14 18:20:50 UTC 2025","passed","Fri Nov 14 18:20:53 UTC 2025","","test_get_bookings","",""
"","826","test_update_booking_put_without_auth","tests","Fri Nov 14 18:20:58 UTC 2025","passed","Fri Nov 14 18:20:59 UTC 2025","","test_update_booking","",""
"","815","test_wrong_data_update_booking_put","tests","Fri Nov 14 18:20:57 UTC 2025","passed","Fri Nov 14 18:20:58 UTC 2025","","test_update_booking","",""
"","762","test_get_booking_by_id","tests","Fri Nov 14 18:20:48 UTC 2025","passed","Fri Nov 14 18:20:49 UTC 2025","","test_get_bookings","",""
"","852","test_update_booking_patch_wrong_data","tests","Fri Nov 14 18:20:59 UTC 2025","passed","Fri Nov 14 18:21:00 UTC 2025","","test_update_booking","",""
"","529","test_incorrect_dates_create_booking[Wrong dates 'checkin>checkout']","tests","Fri Nov 14 18:20:43 UTC 2025","passed","Fri Nov 14 18:20:43 UTC 2025","","test_create_booking","",""
"","1057","test_delete_deleted_booking","tests","Fri Nov 14 18:20:47 UTC 2025","passed","Fri Nov 14 18:20:48 UTC 2025","","test_delete_booking","",""
"","748","test_get_booking","tests","Fri Nov 14 18:20:49 UTC 2025","passed","Fri Nov 14 18:20:49 UTC 2025","","test_get_bookings","",""
"","242","test_incorrect_authentification[Empty login, password]","tests","Fri Nov 14 18:20:40 UTC 2025","passed","Fri Nov 14 18:20:40 UTC 2025","","test_auhtentification","",""
"","836","test_update_booking_patch","tests","Fri Nov 14 18:20:59 UTC 2025","passed","Fri Nov 14 18:20:59 UTC 2025","","test_update_booking","",""
"","548","test_incorrect_dates_create_booking[Empty one day]","tests","Fri Nov 14 18:20:42 UTC 2025","passed","Fri Nov 14 18:20:43 UTC 2025","","test_create_booking","",""
"","844","test_update_booking_put","tests","Fri Nov 14 18:20:56 UTC 2025","passed","Fri Nov 14 18:20:57 UTC 2025","","test_update_booking","",""
"","496","test_payloads_additional_create_booking[Payload with 2 additionals]","tests","Fri Nov 14 18:20:45 UTC 2025","passed","Fri Nov 14 18:20:46 UTC 2025","","test_create_booking","",""
"","560","test_correct_dates_create_booking[Correct dates]","tests","Fri Nov 14 18:20:40 UTC 2025","passed","Fri Nov 14 18:20:41 UTC 2025","","test_create_booking","",""
"","468","test_success_authentification","tests","Fri Nov 14 18:20:39 UTC 2025","passed","Fri Nov 14 18:20:40 UTC 2025","","test_auhtentification","",""
"","235","test_incorrect_dates_create_booking[Payload without dates]","tests","Fri Nov 14 18:20:43 UTC 2025","passed","Fri Nov 14 18:20:44 UTC 2025","","test_create_booking","",""
"","221","test_incorrect_payloads_create_booking[Without payload]","tests","Fri Nov 14 18:20:44 UTC 2025","passed","Fri Nov 14 18:20:44 UTC 2025","","test_create_booking","",""
