"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","464","test_get_bookings_with_filter_name","tests","Thu Jun 26 18:19:48 GMT 2025","passed","Thu Jun 26 18:19:49 GMT 2025","","test_get_bookings","",""
"","118","test_get_booking","tests","Thu Jun 26 18:19:48 GMT 2025","passed","Thu Jun 26 18:19:48 GMT 2025","","test_get_bookings","",""
"","136","test_wrong_data_update_booking_put","tests","Thu Jun 26 18:19:50 GMT 2025","passed","Thu Jun 26 18:19:50 GMT 2025","","test_update_booking","",""
"","91","test_payloads_additional_create_booking[Payload with long additionals]","tests","Thu Jun 26 18:19:48 GMT 2025","passed","Thu Jun 26 18:19:48 GMT 2025","","test_create_booking","",""
"","171","test_delete_deleted_booking","tests","Thu Jun 26 18:19:48 GMT 2025","passed","Thu Jun 26 18:19:48 GMT 2025","","test_delete_booking","",""
"","43","test_incorrect_authentification[Empty login, password]","tests","Thu Jun 26 18:19:47 GMT 2025","passed","Thu Jun 26 18:19:47 GMT 2025","","test_auhtentification","",""
"","85","test_payloads_additional_create_booking[Payload without additionals]","tests","Thu Jun 26 18:19:47 GMT 2025","passed","Thu Jun 26 18:19:48 GMT 2025","","test_create_booking","",""
"","137","test_update_booking_put","tests","Thu Jun 26 18:19:49 GMT 2025","passed","Thu Jun 26 18:19:50 GMT 2025","","test_update_booking","",""
"","45","test_incorrect_payloads_create_booking[Without payload]","tests","Thu Jun 26 18:19:47 GMT 2025","passed","Thu Jun 26 18:19:47 GMT 2025","","test_create_booking","",""
"","85","test_incorrect_dates_create_booking[Wrong dates 'checkin>checkout']","tests","Thu Jun 26 18:19:47 GMT 2025","passed","Thu Jun 26 18:19:47 GMT 2025","","test_create_booking","",""
"","131","test_update_booking_patch_wrong_data","tests","Thu Jun 26 18:19:50 GMT 2025","passed","Thu Jun 26 18:19:50 GMT 2025","","test_update_booking","",""
"","83","test_incorrect_dates_create_booking[Empty dates]","tests","Thu Jun 26 18:19:47 GMT 2025","passed","Thu Jun 26 18:19:47 GMT 2025","","test_create_booking","",""
"","95","test_incorrect_dates_create_booking[Past dates]","tests","Thu Jun 26 18:19:47 GMT 2025","passed","Thu Jun 26 18:19:47 GMT 2025","","test_create_booking","",""
"","140","test_delete_booking","tests","Thu Jun 26 18:19:48 GMT 2025","passed","Thu Jun 26 18:19:48 GMT 2025","","test_delete_booking","",""
"","127","test_update_booking_patch_without_auth","tests","Thu Jun 26 18:19:50 GMT 2025","passed","Thu Jun 26 18:19:50 GMT 2025","","test_update_booking","",""
"","39","test_incorrect_dates_create_booking[Payload without dates]","tests","Thu Jun 26 18:19:47 GMT 2025","passed","Thu Jun 26 18:19:47 GMT 2025","","test_create_booking","",""
"","45","test_incorrect_authentification[Wrong login, password ]","tests","Thu Jun 26 18:19:47 GMT 2025","passed","Thu Jun 26 18:19:47 GMT 2025","","test_auhtentification","",""
"","85","test_payloads_additional_create_booking[Payload with 2 additionals]","tests","Thu Jun 26 18:19:48 GMT 2025","passed","Thu Jun 26 18:19:48 GMT 2025","","test_create_booking","",""
"","133","test_update_booking_patch","tests","Thu Jun 26 18:19:50 GMT 2025","passed","Thu Jun 26 18:19:50 GMT 2025","","test_update_booking","",""
"","43","test_success_authentification","tests","Thu Jun 26 18:19:47 GMT 2025","passed","Thu Jun 26 18:19:47 GMT 2025","","test_auhtentification","",""
"","187","test_get_bookings_all_ids","tests","Thu Jun 26 18:19:48 GMT 2025","passed","Thu Jun 26 18:19:48 GMT 2025","","test_get_bookings","",""
"","86","test_incorrect_payloads_create_booking[Empty payload]","tests","Thu Jun 26 18:19:47 GMT 2025","passed","Thu Jun 26 18:19:47 GMT 2025","","test_create_booking","",""
"","94","test_incorrect_dates_create_booking[Empty one day]","tests","Thu Jun 26 18:19:47 GMT 2025","passed","Thu Jun 26 18:19:47 GMT 2025","","test_create_booking","",""
"","86","test_correct_dates_create_booking[Correct dates on today]","tests","Thu Jun 26 18:19:47 GMT 2025","passed","Thu Jun 26 18:19:47 GMT 2025","","test_create_booking","",""
"","505","test_get_bookings_with_filter_dates","tests","Thu Jun 26 18:19:49 GMT 2025","passed","Thu Jun 26 18:19:49 GMT 2025","","test_get_bookings","",""
"","125","test_update_booking_put_without_auth","tests","Thu Jun 26 18:19:50 GMT 2025","passed","Thu Jun 26 18:19:50 GMT 2025","","test_update_booking","",""
"","124","test_get_booking_by_id","tests","Thu Jun 26 18:19:48 GMT 2025","passed","Thu Jun 26 18:19:48 GMT 2025","","test_get_bookings","",""
"","39","test_incorrect_payloads_create_booking[Payload incorrect data types]","tests","Thu Jun 26 18:19:47 GMT 2025","passed","Thu Jun 26 18:19:47 GMT 2025","","test_create_booking","",""
"","104","test_correct_dates_create_booking[Correct dates]","tests","Thu Jun 26 18:19:47 GMT 2025","passed","Thu Jun 26 18:19:47 GMT 2025","","test_create_booking","",""
